"Tarih","PM10","temperature","temperature_min","temperature_max","winddirection","windspeed","pressure"
"","PM10 ( �g/m� )","temperature","temperature_min","temperature_max","winddirection","windspeed","pressure"
"01/01/2020 00:00:56","49.9274891666667","8.8","6","12","277","22.8","1019.2"
"12/31/2019 00:00:56","26.1157516666667","7.5","5.5","9","323","33.2","1010.6"
"12/30/2019 00:00:56","25.8812645833333","7.3","6","10","290","22.8","1013.3"
"12/29/2019 00:00:56","29.0293566666667","5.9","2","9.1","290","6.2","1013.2"
"12/28/2019 00:00:56","57.10553","8","6","11","290","18.1","1015.7"
"12/27/2019 00:00:56","41.09887375","9.1","6","12.6","228","25.5","1008.4"
"12/26/2019 00:00:56","50.4096766666667","8.9","6","12","228","10.4","1004.8"
"12/25/2019 00:00:56","66.3760125","10.4","8","13","261.75","6.1","998.9"
"12/24/2019 00:00:56","70.02891625","12","9.7","17","261.9375","18.8","999.2"
"12/23/2019 00:00:56","49.93290625","16","14.6","18","168","27.5","1012.6"
"12/22/2019 00:00:56","50.33433625","11.9","8.6","15","216","12.1","1019.5"
"12/21/2019 00:00:56","208.385045833333","8.9","3.7","15","216","2.9","1024.7"
"12/20/2019 00:00:56","232.254825","9.2","4","18","216","2.2","1029"
"12/19/2019 00:00:56","208.250695833333","8.8","2.2","17","216","2.6","1029"
"12/18/2019 00:00:56","211.92029875","8.6","3","18","144","1.8","1026"
"12/17/2019 00:00:56","158.164604583333","10.1","4.2","18.1","144","4.9","1025.3"
"12/16/2019 00:00:56","139.180579583333","12.2","6","18.5","178","9.5","1015.3"
"12/15/2019 00:00:56","75.9749554166667","12.2","8","17","161","16","1001.9"
"12/14/2019 00:00:56","78.6379466666667","10.6","8.7","14","161","7.6","1004.5"
"12/13/2019 00:00:56","143.042449166667","11","6.7","16.1","161","5.9","1005.7"
"12/12/2019 00:00:56","149.15340125","10.2","5.2","13","161","5.9","1009.3"
"12/11/2019 00:00:56","111.369684285714","6.9","1","15.5","161","4.6","1009.3"
"12/10/2019 00:00:56","136.633965416667","8.5","3","14.1","161","8.7","1014.8"
"12/09/2019 00:00:56","82.2431645833334","10.5","6.7","14.5","161","9.5","1016.3"
"12/08/2019 00:00:56","110.111215833333","5.7","-1","13","161","4.2","1016.3"
"12/07/2019 00:00:56","125.622526666667","6.3","1.2","11","161","14.1","1023"
"12/06/2019 00:00:56","62.0741575","8.5","6","11.5","271","24.6","1023.7"
"12/05/2019 00:00:56","37.1462266666667","7.9","6","10","271","24.6","1018.4"
"12/04/2019 00:00:56","94.10371875","8.1","2","16","271","2.8","1019.3"
"12/03/2019 00:00:56","104.701536666667","8.4","3","13.1","271","15","1021.8"
"12/02/2019 00:00:56","52.73435125","12.5","8","15.2","127","16.4","1017.8"
"12/01/2019 00:00:56","39.7582295833333","14.8","10","20.2","127","8.7","1014.1"
"11/30/2019 00:00:56","88.92581875","16.9","14","21","195","15.2","1012.8"
